ID,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,higher,romantic,famrel,Dalc,Walc,health,absences,G3,pass
25,F,15,R,GT3,T,2,4,services,health,mother,3,0,yes,yes,yes,yes,no,4,1,1,5,2,8,fail
26,F,16,U,GT3,T,2,2,services,services,mother,1,2,no,yes,yes,yes,no,1,1,3,5,14,8,fail
27,M,15,U,GT3,T,2,2,other,other,mother,1,0,no,yes,yes,yes,no,4,1,2,5,2,11,pass
28,M,15,U,GT3,T,4,2,health,services,mother,1,0,no,no,yes,yes,no,2,2,4,1,4,15,pass
29,M,16,U,LE3,A,3,4,services,other,mother,2,0,yes,yes,no,yes,no,5,1,1,5,4,11,pass
30,M,16,U,GT3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,yes,4,5,5,5,16,11,pass
31,M,15,U,GT3,T,4,4,health,services,mother,2,0,no,yes,yes,yes,no,5,3,4,5,0,12,pass
32,M,15.1683706465732,U,GT3,T,4,4,services,services,mother,2,0,no,yes,no,yes,no,4,1,1,5,0,17,pass
33,M,15,R,GT3,T,4,3,teacher,at_home,mother,2,0,no,yes,no,yes,yes,4,1,1,5,0,16,pass
34,M,16.6157055560013,U,LE3,T,3,3,other,other,mother,2,0,no,no,no,yes,no,5,1,1,2,0,12,pass
35,M,16,U,GT3,T,3,2,other,other,mother,1,0,no,yes,yes,yes,no,5,1,1,5,0,15,pass
36,F,15,U,GT3,T,2,3,other,other,father,1,0,no,yes,no,yes,no,3,1,1,5,0,6,fail
37,M,15,U,LE3,T,4,3,teacher,services,mother,3,0,no,yes,no,yes,no,5,1,1,4,2,18,pass
38,M,16,R,GT3,A,4,4,other,teacher,mother,3,0,no,yes,no,yes,yes,2,1,1,5,7,15,pass
39,F,15,R,GT3,T,3,4,services,health,mother,3,0,yes,yes,yes,yes,no,4,1,1,5,2,11,pass
40,F,15,R,GT3,T,2,2,at_home,other,mother,1,0,yes,yes,yes,yes,no,4,1,1,2,8,13,pass
41,F,16,U,LE3,T,2,2,other,other,mother,2,1,no,yes,no,yes,yes,3,1,2,3,25,11,pass
42,M,16.1931460446093,U,LE3,T,4,4,teacher,other,other,1,0,no,yes,no,yes,yes,5,2,4,5,8,12,pass
43,M,15,U,GT3,T,4,4,services,teacher,father,2,0,no,yes,no,yes,no,4,1,1,5,2,18,pass
44,M,15,U,GT3,T,2,2,services,services,father,1,0,yes,yes,no,yes,no,5,1,1,1,0,11,pass
45,F,16,U,LE3,T,2,2,other,at_home,father,2,1,yes,no,no,yes,no,4,2,2,5,14,9,fail
46,F,16.2152960009459,U,LE3,A,4,3,other,other,mother,2,0,yes,yes,yes,yes,yes,5,1,1,5,8,6,fail
47,F,16,U,LE3,A,3,3,other,services,mother,2,0,no,yes,no,yes,no,2,1,4,3,12,11,pass
48,M,16,U,GT3,T,4,3,health,services,mother,4,0,no,no,no,yes,no,4,1,1,2,4,20,pass
49,M,15,U,GT3,T,4,2,teacher,other,mother,2,0,no,yes,yes,yes,no,4,2,2,5,2,14,pass
50,F,15,U,GT3,T,4,4,services,teacher,father,2,1,yes,yes,no,yes,no,4,1,1,3,2,7,fail
51,M,16,U,LE3,T,2,2,services,services,mother,2,0,no,yes,yes,yes,no,4,2,3,4,2,13,pass
52,F,15,U,LE3,T,4,2,health,other,mother,2,0,no,yes,yes,yes,no,4,1,1,5,2,13,pass
53,M,15,U,LE3,A,4,2,health,health,father,1,1,no,no,no,yes,no,5,3,4,5,6,10,pass
54,F,15,U,GT3,T,4,4,services,services,mother,1,0,yes,yes,yes,yes,no,3,2,3,5,0,11,pass
55,F,17.0757361071819,U,LE3,A,3,3,other,other,mother,1,0,no,no,yes,yes,no,5,4,4,1,6,13,pass
56,F,16.5814758433812,U,GT3,A,2,1,other,other,mother,2,0,no,no,yes,yes,yes,5,1,1,2,8,10,pass
57,F,15,U,GT3,A,4,3,services,services,mother,2,0,no,yes,yes,yes,no,4,1,1,1,0,15,pass
58,M,15,U,GT3,T,4,4,teacher,health,mother,2,0,no,yes,no,yes,no,3,1,1,5,4,15,pass
59,M,15,U,LE3,T,1,2,other,at_home,father,2,0,yes,yes,no,yes,no,4,1,1,5,2,9,fail
60,M,16,U,GT3,T,4,2,services,other,mother,2,0,no,yes,no,yes,no,4,1,1,5,2,16,pass
61,F,16,R,GT3,T,4,4,health,teacher,mother,2,0,no,yes,no,yes,no,2,2,3,4,6,11,pass
62,M,16,U,GT3,T,1,1,services,services,father,1,0,yes,yes,no,yes,yes,5,5,5,5,6,11,pass
63,F,16,U,LE3,T,1,2,other,services,father,2,0,yes,no,no,yes,no,4,1,1,1,4,9,fail
64,F,16,U,GT3,T,4,3,teacher,health,mother,3,0,yes,yes,yes,yes,no,3,2,4,4,2,9,fail
65,F,15,U,LE3,T,4,3,services,services,father,2,0,yes,no,no,yes,yes,4,2,4,2,0,10,pass
66,F,16,U,LE3,T,4,3,teacher,services,mother,2,0,no,yes,no,yes,no,5,1,2,1,2,15,pass
67,M,17.0288107528092,U,GT3,A,4,4,other,services,mother,4,0,no,yes,no,yes,yes,1,5,5,3,4,12,pass
68,F,15.318445499602,U,GT3,T,3,1,services,other,mother,4,0,yes,yes,yes,yes,no,4,1,2,5,4,6,fail
69,F,15,R,LE3,T,2,2,health,services,mother,2,0,yes,yes,yes,yes,no,4,1,3,4,2,8,fail
70,F,15,R,LE3,T,3,1,other,other,father,4,0,no,yes,no,yes,no,4,2,3,3,12,16,pass
71,M,16,U,GT3,T,3,1,other,other,father,4,0,no,yes,yes,yes,no,4,1,1,5,0,15,pass
72,M,15,U,GT3,T,4,2,other,other,mother,4,0,no,no,no,yes,no,3,1,1,3,0,10,pass
73,F,15,R,GT3,T,1,1,other,other,mother,2,2,yes,yes,no,yes,yes,3,2,4,5,2,5,fail
74,M,17.0525392624619,U,GT3,T,3,1,other,other,mother,1,0,no,no,no,yes,no,5,2,2,5,2,14,pass
75,F,16,U,GT3,T,3,3,other,services,mother,2,0,yes,yes,yes,yes,no,4,2,4,5,54,11,pass
76,M,15,U,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,no,4,2,3,5,6,10,pass
77,M,15,U,GT3,T,4,0,teacher,other,mother,4,0,no,no,no,yes,no,3,1,1,1,8,10,pass
78,F,16,U,GT3,T,2,2,other,other,mother,4,0,no,no,yes,yes,yes,5,1,3,3,0,11,pass
79,M,17,U,GT3,T,2,1,other,other,mother,1,3,yes,yes,no,no,no,4,1,1,3,2,10,pass
80,F,16,U,GT3,T,3,4,at_home,other,mother,2,0,no,yes,no,yes,no,2,1,2,3,12,5,fail
81,M,15,U,GT3,T,2,3,other,services,father,1,0,yes,yes,yes,yes,yes,3,1,3,3,2,12,pass
82,M,15,U,GT3,T,2,3,other,other,mother,3,0,yes,no,yes,yes,no,5,1,2,5,4,11,pass
83,F,15,U,LE3,T,3,2,services,other,mother,2,0,no,yes,yes,yes,no,4,1,1,5,10,6,fail
84,M,15,U,LE3,T,2,2,services,services,mother,2,0,no,no,yes,yes,no,5,1,3,4,4,15,pass
85,F,15,U,GT3,T,1,1,other,other,father,2,0,no,yes,no,yes,no,4,2,3,4,2,10,pass
86,M,15,U,GT3,T,4,4,services,services,father,2,2,no,no,yes,yes,yes,4,2,3,5,6,8,fail
87,F,16,U,LE3,T,2,2,at_home,other,mother,2,0,no,yes,no,yes,no,4,1,2,2,4,6,fail
88,F,15,U,GT3,T,4,2,other,other,mother,3,0,no,yes,no,yes,no,5,1,3,1,4,14,pass
89,M,16,U,GT3,T,2,2,services,other,father,2,1,no,no,yes,yes,no,4,1,1,3,12,10,pass
90,M,17.3729961635812,U,LE3,A,4,4,teacher,health,mother,2,0,no,yes,no,yes,no,4,3,5,5,18,7,fail
91,F,16.9484252506719,U,GT3,T,3,3,other,other,mother,3,0,no,yes,yes,yes,yes,4,1,3,4,0,8,fail
92,F,15,U,GT3,T,4,3,services,other,mother,1,0,no,no,yes,yes,no,4,1,3,1,4,18,pass
93,F,16,U,LE3,T,3,1,other,other,father,2,0,yes,yes,no,yes,no,3,2,3,2,4,6,fail
94,F,16,U,GT3,T,4,2,teacher,services,mother,2,0,no,yes,yes,yes,no,5,1,1,1,0,10,pass
95,M,15,U,LE3,T,2,2,services,health,mother,4,0,no,yes,no,yes,no,4,1,1,4,6,14,pass
96,F,15,R,GT3,T,1,1,at_home,other,mother,4,1,yes,yes,yes,yes,no,3,1,1,1,2,10,pass
97,M,16,R,GT3,T,4,3,services,other,mother,1,0,yes,yes,no,yes,no,3,1,1,4,2,15,pass
98,F,16,U,GT3,T,2,1,other,other,mother,2,0,no,yes,yes,yes,yes,4,1,1,5,2,10,pass
99,F,16,U,GT3,T,4,4,other,other,mother,1,0,no,no,no,yes,no,5,1,2,1,6,14,pass
100,F,16,U,GT3,T,4,3,other,at_home,mother,3,0,yes,yes,yes,yes,no,5,1,1,3,0,8,fail
101,M,16,U,GT3,T,4,4,services,services,mother,1,0,yes,yes,yes,yes,no,4,5,5,4,14,5,fail
102,M,16,U,GT3,T,4,4,services,teacher,father,3,0,no,yes,no,yes,yes,4,1,1,4,0,17,pass
103,M,15,U,GT3,T,4,4,services,other,mother,1,0,no,yes,no,yes,no,5,1,1,5,4,14,pass
104,F,15,U,GT3,T,3,2,services,other,mother,2,0,yes,yes,yes,yes,no,4,1,1,2,26,6,fail
105,M,15,U,GT3,A,3,4,services,other,mother,2,0,no,yes,yes,yes,no,5,1,1,1,0,18,pass
106,F,15,U,GT3,A,3,3,other,health,father,4,0,yes,no,no,yes,no,4,1,1,4,10,11,pass
107,F,15,U,GT3,T,2,2,other,other,mother,4,0,yes,yes,yes,yes,no,5,1,1,3,8,8,fail
108,M,16,U,GT3,T,3,3,services,other,father,3,0,no,yes,no,yes,no,5,1,1,5,2,18,pass
109,M,17.238674037647,R,GT3,T,4,4,other,other,father,4,0,no,yes,yes,yes,yes,1,3,5,1,6,13,pass
110,F,16,U,LE3,T,4,4,health,health,mother,3,0,no,yes,yes,yes,yes,5,1,1,4,4,16,pass
111,M,15,U,LE3,A,4,4,teacher,teacher,mother,1,0,no,no,no,yes,no,5,1,1,4,6,19,pass
112,F,16,R,GT3,T,3,3,services,other,father,3,1,yes,yes,no,yes,no,4,1,1,2,0,10,pass
113,F,16,U,GT3,T,2,2,at_home,other,mother,2,1,yes,no,no,yes,no,3,1,1,5,6,13,pass
114,M,15,U,LE3,T,4,2,teacher,other,mother,1,0,no,no,no,yes,no,3,1,1,3,10,19,pass
115,M,15,R,GT3,T,2,1,health,services,mother,2,0,no,no,no,yes,yes,5,1,1,5,8,9,fail
116,M,15.3957601601,U,GT3,T,4,4,teacher,teacher,father,2,0,no,yes,no,yes,no,5,1,2,5,2,16,pass
117,M,15,U,GT3,T,4,4,other,teacher,father,2,0,no,yes,no,yes,no,4,1,1,2,2,14,pass
118,M,16,U,GT3,T,3,3,other,services,father,1,0,no,no,no,yes,no,5,1,1,5,0,13,pass
119,M,17,R,GT3,T,1,3,other,other,father,2,1,no,yes,no,yes,no,5,1,4,5,20,8,fail
120,M,15,U,GT3,T,3,4,other,other,father,1,0,no,no,no,yes,no,3,1,2,4,6,13,pass
121,F,15,U,GT3,T,1,2,at_home,services,mother,2,0,no,no,no,yes,no,3,1,2,1,2,15,pass
122,M,15,U,GT3,T,2,2,services,services,father,4,0,no,yes,yes,yes,no,5,1,2,5,6,15,pass
123,F,16,U,LE3,T,2,4,other,health,father,2,0,no,yes,yes,yes,yes,4,1,2,5,2,13,pass
124,M,16.5285037327181,U,GT3,T,4,4,health,other,mother,1,0,no,yes,no,yes,no,3,1,4,5,18,13,pass
125,F,16,U,GT3,T,2,2,other,other,mother,2,0,no,no,yes,yes,yes,5,1,1,5,0,8,fail
126,M,15,U,GT3,T,3,4,services,services,father,1,0,yes,no,no,yes,no,5,3,2,5,0,12,pass
127,F,15,U,LE3,A,3,4,other,other,mother,2,0,yes,no,no,yes,yes,5,1,1,1,0,11,pass
128,F,19,U,GT3,T,0,1,at_home,other,other,2,3,no,yes,no,no,no,3,1,1,5,2,9,fail
129,M,18,R,GT3,T,2,2,services,other,mother,1,2,no,yes,no,yes,no,3,1,2,4,0,0,fail
130,M,16,R,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,yes,yes,no,3,2,5,4,8,18,pass
131,F,15,R,GT3,T,3,4,services,teacher,father,3,2,no,yes,no,yes,yes,4,2,2,5,0,0,fail
132,F,17.6513463862537,U,GT3,T,1,1,at_home,other,mother,1,0,no,yes,no,yes,yes,4,1,2,4,0,0,fail
133,F,17,U,LE3,T,2,2,other,other,father,1,0,no,yes,no,yes,yes,3,1,3,5,12,12,pass
134,F,16,U,GT3,A,3,4,services,other,father,1,0,no,no,no,yes,no,3,1,4,5,16,11,pass
135,M,16.5997716369257,R,GT3,T,3,4,at_home,teacher,mother,2,0,no,yes,no,yes,yes,5,1,1,5,0,0,fail
136,F,15,U,GT3,T,4,4,services,at_home,mother,3,0,no,yes,no,yes,yes,4,1,1,5,0,0,fail
137,M,17,R,GT3,T,3,4,at_home,other,mother,2,0,no,no,no,yes,no,5,2,4,5,0,0,fail
138,F,16,U,GT3,A,3,3,other,other,other,1,2,no,yes,no,yes,yes,4,1,1,5,0,0,fail
139,M,16,U,LE3,T,1,1,services,other,mother,2,1,no,no,no,yes,yes,4,1,3,5,0,12,pass
140,F,15,U,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,no,yes,no,4,1,1,5,0,15,pass
141,F,15,U,GT3,T,4,3,teacher,services,father,4,0,yes,yes,no,yes,no,2,1,1,3,0,0,fail
142,M,16,U,LE3,T,2,2,services,services,father,1,2,no,yes,no,yes,no,2,2,2,2,8,9,fail
143,F,15,U,GT3,T,4,4,teacher,services,mother,3,0,no,yes,yes,yes,no,4,1,1,5,2,11,pass
144,F,16,U,LE3,T,1,1,at_home,at_home,mother,1,0,no,no,no,yes,no,3,3,3,1,2,13,pass
145,M,16.9361762134179,U,GT3,T,2,1,other,other,mother,1,3,no,yes,no,yes,no,5,1,2,5,0,0,fail
146,F,15,U,GT3,T,1,1,other,services,father,2,0,no,yes,yes,yes,no,4,1,2,5,0,11,pass
147,F,15,U,GT3,T,3,2,health,services,father,2,3,no,yes,no,yes,no,3,1,1,3,0,0,fail
148,M,15,U,GT3,T,1,2,at_home,other,mother,2,0,no,yes,yes,yes,no,4,1,1,5,2,11,pass
149,M,16,U,GT3,T,4,4,teacher,teacher,mother,1,0,no,yes,no,no,yes,3,2,1,5,0,0,fail
150,M,15,U,LE3,A,2,1,services,other,mother,1,3,no,no,no,yes,no,4,2,5,5,0,10,pass
151,M,18,U,LE3,T,1,1,other,other,mother,1,3,no,no,no,no,yes,2,2,5,4,0,0,fail
152,M,16,U,LE3,T,2,1,at_home,other,mother,1,1,no,no,no,yes,yes,4,3,5,5,6,14,pass
153,F,15,R,GT3,T,3,3,services,services,other,3,2,no,yes,yes,yes,yes,4,2,3,3,8,10,pass
154,M,17.6860227033723,U,GT3,T,3,2,services,at_home,mother,1,3,no,yes,no,no,yes,4,1,1,4,0,0,fail
155,F,17,U,GT3,T,4,4,other,teacher,mother,1,0,yes,yes,no,yes,yes,4,1,1,4,0,12,pass
156,M,15,R,GT3,T,2,3,at_home,services,mother,2,0,yes,no,yes,yes,no,4,1,1,1,2,8,fail
157,M,17,R,LE3,T,1,2,other,other,mother,1,0,no,no,no,yes,no,2,3,3,5,8,13,pass
158,F,18,R,GT3,T,1,1,at_home,other,mother,1,3,no,yes,no,yes,no,5,1,5,4,6,10,pass
159,M,16,R,GT3,T,2,2,at_home,other,mother,1,0,no,no,no,yes,no,4,1,2,3,2,15,pass
160,M,16,U,GT3,T,3,3,other,services,father,2,1,no,yes,yes,yes,yes,4,4,4,5,4,12,pass
161,M,17,R,LE3,T,2,1,at_home,other,mother,1,2,no,no,no,no,yes,3,2,2,5,0,0,fail
162,M,15,R,GT3,T,3,2,other,other,mother,2,2,yes,yes,no,yes,yes,4,1,4,3,6,7,fail
163,M,16.8316293534268,U,LE3,T,1,2,other,other,mother,1,1,no,no,no,yes,no,4,2,4,5,0,0,fail
164,M,17,U,GT3,T,1,3,at_home,services,father,1,0,no,no,no,no,no,5,1,4,2,2,10,pass
165,M,17,R,LE3,T,1,1,other,services,mother,2,3,no,no,no,no,yes,5,1,5,5,0,7,fail
166,M,16,U,GT3,T,3,2,services,services,mother,1,1,no,yes,no,no,no,4,1,1,2,16,12,pass
167,M,16,U,GT3,T,2,2,other,other,father,2,0,no,no,no,no,no,4,2,4,4,4,10,pass
168,F,16,U,GT3,T,4,2,health,services,father,2,0,no,no,yes,yes,yes,4,1,1,3,0,16,pass
169,F,16,U,GT3,T,2,2,other,other,mother,2,0,no,yes,yes,yes,no,5,1,1,4,0,0,fail
170,F,16,U,GT3,T,4,4,health,health,mother,2,0,no,yes,yes,yes,yes,4,1,1,3,0,14,pass
171,M,16,U,GT3,T,3,4,other,other,father,1,2,no,yes,no,yes,no,3,2,4,2,0,0,fail
172,M,16,U,GT3,T,1,0,other,other,mother,2,0,no,yes,yes,yes,yes,4,1,1,3,2,16,pass
173,M,17,U,LE3,T,4,4,teacher,other,mother,2,0,no,yes,yes,yes,no,4,1,3,5,0,10,pass
174,F,16,U,GT3,T,1,3,at_home,services,mother,2,3,no,no,no,yes,yes,4,1,1,3,0,0,fail
175,F,16,U,LE3,T,3,3,other,other,mother,2,0,no,yes,yes,yes,no,4,1,1,4,4,9,fail
176,M,17,U,LE3,T,4,3,teacher,other,mother,2,0,no,no,yes,yes,no,4,4,4,4,4,9,fail
177,F,16,U,GT3,T,2,2,services,other,mother,2,0,no,no,yes,yes,no,3,1,4,5,2,11,pass
178,M,17,U,GT3,T,3,3,other,other,father,2,0,no,no,no,yes,no,4,1,4,4,4,6,fail
179,M,16,R,GT3,T,4,2,teacher,services,mother,1,0,no,yes,no,yes,yes,4,3,4,3,10,9,fail
180,M,17,U,GT3,T,4,3,other,other,mother,2,0,no,yes,no,yes,yes,5,1,1,2,4,11,pass
181,M,16,U,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,no,3,2,3,3,10,8,fail
182,M,16,U,GT3,T,3,3,services,other,mother,2,0,no,no,yes,yes,yes,4,1,2,3,2,12,pass
183,F,17,U,GT3,T,2,4,services,services,father,2,0,no,yes,no,yes,no,5,2,3,5,0,17,pass
184,F,17,U,LE3,T,3,3,other,other,mother,2,0,no,yes,no,yes,yes,5,2,3,1,56,8,fail
185,F,16,U,GT3,T,3,2,other,other,mother,2,0,no,yes,yes,yes,no,1,1,2,1,14,12,pass
186,M,17,U,GT3,T,3,3,services,services,mother,2,0,no,yes,no,yes,yes,4,2,3,4,12,11,pass
187,M,16,U,GT3,T,1,2,services,services,mother,1,0,no,yes,yes,yes,yes,3,1,2,3,2,11,pass
188,M,16,U,LE3,T,2,1,other,other,mother,2,0,no,no,yes,yes,yes,4,1,2,5,0,15,pass
189,F,17,U,GT3,A,3,3,health,other,mother,2,0,no,yes,no,yes,yes,3,1,3,3,6,9,fail
190,M,17,R,GT3,T,1,2,at_home,other,mother,2,0,no,no,no,yes,no,3,1,5,3,4,10,pass
191,F,16,U,GT3,T,2,3,services,services,mother,2,0,no,no,no,yes,no,4,1,1,2,10,13,pass
192,F,17,U,GT3,T,1,1,at_home,services,mother,2,0,no,no,no,yes,no,5,1,1,3,0,9,fail
193,M,17,U,GT3,T,1,2,at_home,services,other,2,0,no,no,yes,yes,no,4,4,5,5,12,8,fail
194,M,16,R,GT3,T,3,3,services,services,mother,1,0,no,yes,no,yes,no,4,3,4,5,8,10,pass
195,M,16,U,GT3,T,2,3,other,other,father,1,0,no,no,no,yes,no,5,1,1,3,0,14,pass
196,F,17,U,LE3,T,2,4,services,services,father,2,0,no,no,no,yes,yes,4,1,1,5,0,15,pass
197,M,17,U,GT3,T,4,4,services,teacher,mother,1,0,no,no,no,yes,no,5,1,2,5,4,16,pass
198,M,16,R,LE3,T,3,3,teacher,other,father,1,0,no,yes,yes,yes,no,3,3,5,3,8,10,pass
199,F,17,U,GT3,T,4,4,services,teacher,mother,1,1,no,yes,no,yes,no,4,2,3,2,24,18,pass
200,F,16,U,LE3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,no,4,1,2,3,0,10,pass
201,F,16,U,GT3,T,4,3,health,other,mother,2,0,no,yes,no,yes,no,4,1,5,2,2,16,pass
202,F,16,U,GT3,T,2,3,other,other,mother,2,0,yes,yes,yes,yes,no,4,1,3,4,6,10,pass
203,F,17,U,GT3,T,1,1,other,other,mother,2,0,no,yes,yes,yes,no,4,1,3,1,4,10,pass
204,F,17,R,GT3,T,2,2,other,other,mother,1,0,no,yes,no,yes,no,5,1,2,3,18,6,fail
205,F,16,R,GT3,T,2,2,services,services,mother,4,0,no,yes,yes,yes,no,5,1,1,5,6,11,pass
206,F,17,U,GT3,T,3,4,at_home,services,mother,3,1,no,yes,yes,yes,yes,4,3,4,5,28,9,fail
207,F,16,U,GT3,A,3,1,services,other,mother,2,3,no,yes,yes,yes,no,2,2,2,4,5,7,fail
208,F,16,U,GT3,T,4,3,teacher,other,mother,2,0,no,no,yes,yes,yes,1,1,1,1,10,13,pass
209,F,16,U,GT3,T,1,1,at_home,other,mother,1,0,no,yes,yes,yes,no,4,1,4,5,6,10,pass
210,F,17,R,GT3,T,4,3,teacher,other,mother,3,0,no,yes,yes,yes,yes,4,1,1,4,6,7,fail
211,F,19,U,GT3,T,3,3,other,other,other,4,0,no,yes,yes,yes,no,4,1,2,3,10,8,fail
212,M,17,U,LE3,T,4,4,services,other,mother,2,0,no,yes,yes,yes,yes,5,4,5,3,13,13,pass
213,F,16,U,GT3,A,2,2,other,other,mother,2,0,yes,yes,yes,yes,no,3,1,1,4,0,14,pass
214,M,15.5456538211476,U,GT3,T,2,2,services,other,mother,2,1,no,yes,yes,yes,no,4,2,4,5,15,8,fail
215,F,17,R,LE3,T,4,4,services,other,mother,1,0,no,yes,yes,yes,no,5,1,2,3,12,10,pass
216,M,17,U,LE3,T,3,2,other,other,mother,2,0,no,no,yes,yes,no,4,1,3,1,2,15,pass
217,F,17,U,GT3,T,4,3,other,other,mother,2,2,no,no,yes,yes,yes,3,2,4,1,22,4,fail
218,M,18,U,LE3,T,3,3,services,health,father,2,1,no,yes,yes,yes,no,3,2,4,4,13,8,fail
219,F,17,U,GT3,T,2,3,at_home,other,father,1,0,no,yes,yes,yes,no,3,1,4,3,3,8,fail
220,F,17.2267754733445,U,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,yes,yes,no,4,1,1,4,4,10,pass
221,F,17,R,GT3,T,2,1,at_home,services,mother,2,0,no,yes,no,yes,no,4,1,2,5,2,6,fail
222,F,17,U,GT3,T,1,1,at_home,other,mother,3,1,no,yes,no,yes,yes,4,1,1,5,0,0,fail
223,F,15.7558932462449,U,GT3,T,2,3,services,teacher,mother,2,0,yes,no,no,yes,no,2,1,1,3,2,17,pass
224,M,18,U,GT3,T,2,2,other,other,mother,2,0,no,yes,yes,yes,no,3,5,5,4,0,13,pass
225,F,16,U,GT3,T,4,4,teacher,services,mother,3,0,no,yes,no,yes,no,5,1,1,5,0,14,pass
226,F,18,R,GT3,T,3,1,other,other,mother,2,1,no,no,no,yes,yes,5,1,1,4,16,7,fail
227,F,17,U,GT3,T,3,2,other,other,mother,2,0,no,no,no,yes,no,5,1,3,3,10,15,pass
228,M,17,U,LE3,T,2,3,services,services,father,2,0,no,yes,yes,yes,no,5,1,3,3,2,12,pass
229,M,16.6513463862537,U,LE3,T,2,1,at_home,other,mother,2,0,yes,yes,yes,yes,yes,4,4,5,3,14,9,fail
230,F,17,U,GT3,A,2,1,other,other,mother,3,0,no,no,no,yes,yes,3,1,2,3,10,12,pass
231,F,17,U,LE3,T,4,3,health,other,father,2,0,no,no,no,yes,yes,3,1,2,3,14,14,pass
232,M,17,R,GT3,T,2,2,other,other,father,2,0,no,yes,yes,yes,no,4,1,1,1,4,11,pass
233,M,17,U,GT3,T,4,4,teacher,teacher,mother,2,0,yes,yes,no,yes,yes,4,1,3,2,14,9,fail
234,M,15.9528934536463,U,GT3,T,4,4,health,other,father,2,0,no,yes,yes,yes,no,4,2,4,1,2,13,pass
235,M,16,U,LE3,T,1,1,other,other,mother,2,0,no,yes,yes,yes,no,3,1,1,5,18,6,fail
236,M,16,U,GT3,T,3,2,at_home,other,mother,3,0,no,no,no,yes,yes,5,1,3,2,10,10,pass
237,M,17,U,LE3,T,2,2,other,other,father,2,0,no,no,yes,yes,yes,4,5,5,4,4,13,pass
238,F,16,U,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,yes,4,1,1,5,20,12,pass
